brand,brand_authored_messages,unique_inbound_customer_messages_linked,linked_customer_brand_pairs,brand_related_threads,reconstructible_multi_turn_threads,outbound_parent_link_completeness,outbound_orphan_parent_rate,median_outbound_word_count,substantive_reply_proxy_fraction,generic_or_redirect_reply_proxy_fraction,actionable_reply_proxy_fraction,public_containment_proxy_fraction,exact_normalized_duplicate_reply_rate,unique_normalized_reply_ratio,top_template_concentration,unique_normalized_customer_message_ratio
AmazonHelp,169840,189132,269317,82556,51260,0.99401201,0.00273198,21.0,0.95801931,0.18084668,0.09789213,0.77740815,0.09089143,0.90910857,0.0037447,0.96758877
AppleSupport,106860,119895,143304,80717,28144,0.9980161,0.00066442,25.0,0.9960977,0.13996818,0.19586375,0.85613887,0.22387236,0.77612764,0.08349242,0.96246716
Uber_Support,56270,65924,78320,41923,15088,0.9986316,0.00120846,20.0,0.97885196,0.37609739,0.05612227,0.60275458,0.62942954,0.37057046,0.07828328,0.96430738
SpotifyCares,43265,45180,58188,28280,10500,0.99863631,0.00085519,24.0,0.99842829,0.02466197,0.18666358,0.97376632,0.17783428,0.82216572,0.01137178,0.96724214
Delta,42253,41529,56584,26168,11147,0.99753864,0.00113601,18.0,0.90466949,0.24758005,0.0649658,0.66045015,0.0784323,0.9215677,0.01173881,0.97300681
Tesco,38573,30093,51280,16722,11629,0.99732974,0.00080367,25.0,0.99108184,0.16962642,0.06831203,0.82158505,0.05457185,0.94542815,0.00707749,0.97371482
AmericanAir,36764,45314,54576,26386,11577,0.99366228,0.00182243,19.0,0.96618975,0.2445871,0.08818409,0.72304428,0.03215102,0.96784898,0.00427048,0.98230128
TMobileHelp,34317,38782,45877,22820,8627,0.99743567,0.00169012,23.0,0.98953871,0.19585045,0.11014949,0.79383396,0.02998514,0.97001486,0.00740158,0.96591202
comcastcares,33031,34175,41827,24063,8794,0.99830462,0.00096879,24.0,0.99209833,0.27310708,0.05833914,0.7191729,0.27474191,0.72525809,0.03451303,0.96514996
British_Airways,29361,29255,41775,16452,8830,0.99761589,0.00081741,22.0,0.98552502,0.25244372,0.10599094,0.73355812,0.01018358,0.98981642,0.002316,0.98697659
SouthwestAir,28977,33211,40020,21636,7231,0.99606585,0.00089726,21.0,0.97356524,0.20236739,0.06760534,0.77154295,0.0231563,0.9768437,0.00362356,0.97931408
VirginTrains,27817,33851,45866,14853,9186,0.98752561,0.00186936,14.0,0.87406981,0.13272459,0.04245605,0.74655786,0.06460078,0.93539922,0.00697415,0.97084281
Ask_Spectrum,25860,28921,35153,18532,6561,0.99675174,0.00119876,25.0,0.99071926,0.3783836,0.07962104,0.61392111,0.4491106,0.5508894,0.09377417,0.9756924
XboxSupport,24557,25842,35068,13455,8396,0.99002321,0.00118093,21.0,0.99621289,0.04194323,0.19432341,0.95426966,0.28199699,0.71800301,0.0581097,0.9578206
sprintcare,22381,24364,31103,13560,6383,0.99696171,0.00098298,22.0,0.98552344,0.32733122,0.06367008,0.6586837,0.13614226,0.86385774,0.00804254,0.97110491
hulu_support,21872,24556,30823,14955,5897,0.99542794,0.00050293,23.0,0.99972568,0.23802121,0.25137162,0.76170446,0.00566935,0.99433065,0.00150878,0.98175599
sainsburys,19466,20660,28730,10934,6231,0.9965581,0.00092469,22.0,0.97051269,0.09606493,0.0487003,0.87496147,0.06781054,0.93218946,0.01222645,0.97458858
GWRHelp,19364,24504,32364,10732,6951,0.99514563,0.00123941,19.0,0.97195827,0.30783929,0.04275976,0.66546168,0.01833299,0.98166701,0.00454452,0.97984003
AskPlayStation,19098,22185,28426,12533,5727,0.97785108,0.00099487,18.0,0.96491779,0.16561944,0.34898942,0.79935072,0.46104304,0.53895696,0.05660279,0.9527158
ChipotleTweets,18749,21887,25988,14392,4870,0.99199957,0.00069337,13.0,0.74291962,0.15424823,0.05093605,0.59277828,0.19521041,0.80478959,0.03717532,0.97564764
VerizonSupport,17966,21999,30758,8447,5616,0.99103863,0.00256039,15.0,0.93148169,0.03729266,0.12495825,0.89519092,0.21668708,0.78331292,0.043471,0.93886086
UPSHelp,17817,21890,23602,15523,5350,0.99708144,0.00039288,25.0,0.99517315,0.47999102,0.05971825,0.51551889,0.2468429,0.7531571,0.06465735,0.97724989
ATVIAssist,17650,25486,30569,11113,5465,0.99252125,0.00073654,20.0,0.98957507,0.18872521,0.07342776,0.80107649,0.22203966,0.77796034,0.04566572,0.95597583
O2,16212,18423,24577,9556,4448,0.9917962,0.00074019,21.0,0.92949667,0.05298544,0.15661239,0.87663459,0.05014804,0.94985196,0.01344683,0.98729849
Safaricom_Care,16077,16803,23115,9337,4960,0.96118679,0.00111961,14.0,0.80120669,0.10263109,0.1788269,0.70093923,0.13796106,0.86203894,0.01200473,0.93072666
idea_cares,15724,17016,24321,7522,4891,0.99185958,0.00133554,22.0,0.99910964,0.39411091,0.10697024,0.60499873,0.35805139,0.64194861,0.11650979,0.977433
AskTarget,13218,16200,17923,11151,3783,0.99939476,0.00060524,27.0,0.99878953,0.32690271,0.16492662,0.67188682,0.04448479,0.95551521,0.00824633,0.98407407
AirAsiaSupport,12829,12984,18563,6763,3268,0.99181542,0.00085743,20.0,0.97856419,0.14537376,0.23244212,0.83334632,0.11045288,0.88954712,0.02026658,0.95109365
BofA_Help,12683,10865,16417,6583,3897,0.99668848,0.00102499,20.0,0.97855397,0.13727036,0.03193251,0.84364898,0.25987542,0.74012458,0.0367421,0.97846295
SW_Help,12231,14194,19706,6224,4253,0.96271768,0.00138991,20.0,0.97162947,0.2496934,0.04758401,0.72299894,0.02248385,0.97751615,0.00555964,0.97794843
ArgosHelpers,12174,14538,18730,7553,4137,0.9883358,0.00172499,19.0,0.919747,0.19377362,0.08197799,0.72966979,0.0382783,0.9617217,0.0239034,0.95253818
AskLyft,11809,13361,14694,10170,3027,0.99813701,0.00067745,24.0,0.9815395,0.26589889,0.03751376,0.71597934,0.39334406,0.60665594,0.15555932,0.97447796
marksandspencer,11504,12490,15734,7977,3500,0.99539291,0.00078234,20.0,0.92689499,0.16846314,0.05963143,0.75964882,0.04250695,0.95749305,0.01738526,0.98454764
AskAmex,11358,9088,15959,4300,3385,0.97666843,0.00158479,19.0,0.94303575,0.14712097,0.07025885,0.79934848,0.29089628,0.70910372,0.05265011,0.93628961
MicrosoftHelps,11304,10988,17443,4458,3618,0.99221515,0.00061925,23.0,0.99725761,0.06095188,0.20797948,0.93630573,0.09686837,0.90313163,0.02193914,0.98061522
AskPayPal,11298,12931,14284,9589,3043,0.9968136,0.00070809,24.0,0.98451053,0.42334927,0.13834307,0.56160382,0.22455302,0.77544698,0.03248363,0.96775191
Morrisons,10126,9993,13905,5960,3199,0.98963065,0.00069129,19.0,0.89917045,0.24767924,0.03584831,0.65376259,0.03851471,0.96148529,0.01036935,0.98218753
AdobeCare,9917,9884,14425,5094,2693,0.99586569,0.00121004,23.0,0.98900877,0.0745185,0.16073409,0.91449027,0.23021075,0.76978925,0.0780478,0.98077701
airtel_care,9881,7680,12254,4025,2129,0.99848194,0.00030361,18.0,0.93563405,0.09938265,0.24511689,0.8363526,0.47495193,0.52504807,0.05323348,0.95598958
AskeBay,9686,10300,14100,5662,2812,0.99236011,0.0012389,25.0,0.99081148,0.1269874,0.12337394,0.86382408,0.00743341,0.99256659,0.00351022,0.98029126
AirbnbHelp,8875,9690,12259,6033,2324,0.99391549,0.00529577,26.0,0.99064789,0.31267606,0.05487324,0.67797183,0.02174648,0.97825352,0.0103662,0.97647059
ChaseSupport,8811,8957,10681,6887,1997,0.98831007,0.00068097,25.0,0.98717512,0.27397571,0.05788219,0.71319941,0.17273862,0.82726138,0.0145273,0.98716088
McDonalds,8478,10304,10642,8132,1385,0.99422033,0.0,14.0,0.94538806,0.02217504,0.03031375,0.92321302,0.34512857,0.65487143,0.04128332,0.93963509
AldiUK,8114,9400,10596,6632,2141,0.97695341,0.0,21.0,0.85099827,0.3167365,0.04794183,0.53450826,0.13704708,0.86295292,0.0554597,0.98861702
JetBlue,8020,9135,11776,5181,2669,0.99214464,0.00187032,17.0,0.84638404,0.15249377,0.08865337,0.69613466,0.05386534,0.94613466,0.03067332,0.9801861
CoxHelp,7861,8655,11342,4874,2275,0.99529322,0.00152652,21.0,0.98180893,0.24157232,0.12555654,0.74099987,0.13573337,0.86426663,0.04528686,0.9723859
Ask_WellsFargo,7578,8083,9389,6036,1726,0.99749274,0.0006598,25.0,0.9837688,0.20599103,0.12747427,0.77777778,0.05542359,0.94457641,0.00936923,0.96548311
AzureSupport,7565,6726,10236,3309,2069,0.98783873,0.00145406,19.0,0.97395902,0.04216788,0.09134171,0.93192333,0.23370787,0.76629213,0.02445473,0.92521558
AlaskaAir,7478,8680,10352,5629,2021,0.99144156,0.00187216,15.0,0.86814656,0.21035036,0.03557101,0.66368013,0.05910671,0.94089329,0.01216903,0.98698157
HPSupport,7200,4867,8121,3841,2358,0.99736111,0.0,25.0,0.99513889,0.14486111,0.10819444,0.85027778,0.40458333,0.59541667,0.08291667,0.93548387
LondonMidland,6822,8340,11230,3678,2401,0.95499853,0.00146585,17.0,0.87481677,0.27572559,0.04075051,0.61081794,0.03474055,0.96525945,0.00747581,0.9706235
GloCare,6308,7506,10229,3219,1838,0.9988903,0.00047559,17.0,0.94166138,0.22907419,0.18436906,0.71433101,0.21845276,0.78154724,0.04074192,0.97388756
DropboxSupport,5954,5049,7642,3180,1710,0.99764864,0.00016795,25.0,0.97900571,0.05105811,0.13301982,0.9279476,0.05374538,0.94625462,0.01192476,0.9845514
DellCares,5336,3624,6799,1996,1526,0.98125937,0.00168666,24.0,0.99643928,0.22769865,0.16772864,0.76874063,0.04722639,0.95277361,0.01030735,0.98013245
GreggsOfficial,4522,5660,6728,3344,1574,0.99358691,0.00044228,8.0,0.50331712,0.1550199,0.02565237,0.3945157,0.11543565,0.88456435,0.02764264,0.98586572
nationalrailenq,4444,4838,6871,2275,1582,0.93046805,0.00270027,17.0,0.93181818,0.09090909,0.04680468,0.84158416,0.05423042,0.94576958,0.02925293,0.9654816
VirginAtlantic,4318,5519,6935,2771,1592,0.99397869,0.00162112,18.0,0.94696619,0.15308013,0.10583604,0.79527559,0.00694766,0.99305234,0.00578972,0.98278674
TacoBellTeam,4082,4683,5613,3110,1171,0.99975502,0.00024498,9.0,0.77364037,0.00024498,0.08427242,0.77339539,0.65654091,0.34345909,0.10583048,0.9799274
AskCiti,4081,3460,5108,2327,1250,0.98897329,0.00024504,29.0,0.99730458,0.12692967,0.33692722,0.87037491,0.10242588,0.89757412,0.02156334,0.98988439
AskPapaJohns,3908,4658,5275,3153,1052,0.99616172,0.00281474,18.0,0.92860798,0.52865916,0.04324463,0.41018424,0.16120778,0.83879222,0.064739,0.97810219
CenturyLinkHelp,3801,4326,5017,2988,1225,0.99842147,0.00052618,22.0,0.99184425,0.26756117,0.03578006,0.72533544,0.34069982,0.65930018,0.12496711,0.98751734
NikeSupport,3468,4115,5906,1563,986,0.98269896,0.0017301,19.0,0.98904268,0.01672434,0.2038639,0.97231834,0.16493656,0.83506344,0.05190311,0.95650061
Postmates_Help,3346,4093,4381,3010,841,0.99701136,0.00239091,15.0,0.94650329,0.262104,0.08637179,0.6867902,0.3341303,0.6658697,0.13120143,0.97092597
VirginAmerica,2815,3343,3978,2113,814,0.99538188,0.00106572,16.0,0.88312611,0.28454707,0.04476021,0.60568384,0.04511545,0.95488455,0.01385435,0.98923123
ATT,2790,3224,3842,2061,910,0.97419355,0.00035842,24.0,0.97491039,0.21326165,0.08064516,0.76164875,0.03870968,0.96129032,0.02078853,0.99441687
IHGService,2643,2587,3435,1746,870,0.99318956,0.00113507,27.0,0.99697314,0.4226258,0.11275066,0.57434733,0.02837684,0.97162316,0.01967461,0.99188249
Walmart,2643,2849,3052,2406,511,0.98902762,0.00037836,13.0,0.84903519,0.00529701,0.02383655,0.84373818,0.00416194,0.99583806,0.00416194,0.98946999
TfL,2243,2364,2985,1572,761,0.98885421,0.00133749,21.0,0.95630852,0.23539902,0.05127062,0.72313865,0.05572893,0.94427107,0.02496656,0.99027073
askpanera,2153,2579,2746,1978,550,0.99953553,0.00046447,24.0,0.99767766,0.10032513,0.01486298,0.89735253,0.10032513,0.89967487,0.02647469,0.9786739
KFC_UKI_Help,2103,2689,2750,2017,602,0.99762244,0.00142653,21.0,0.98525915,0.38040894,0.02377556,0.61150737,0.52116025,0.47883975,0.2724679,0.98661212
NortonSupport,2011,1962,2997,899,480,0.98906017,0.00497265,18.0,0.87966186,0.1223272,0.17503729,0.75733466,0.06762805,0.93237195,0.02784684,0.9841998
GoDaddyHelp,1965,2263,2739,1451,611,0.9913486,0.00254453,24.0,0.96946565,0.14554707,0.09923664,0.82391858,0.05445293,0.94554707,0.0259542,0.98939461
ArbysCares,1904,2135,2441,1555,524,1.0,0.0,18.0,0.90966387,0.34138655,0.0210084,0.57247899,0.45115546,0.54884454,0.21796218,0.98501171
AsurionCares,1898,2148,2918,1074,553,0.97312961,0.00158061,20.0,0.9857745,0.18493151,0.03055848,0.80084299,0.17123288,0.82876712,0.03951528,0.98510242
DoorDash_Help,1581,1976,2025,1509,460,0.99557242,0.00063251,22.0,0.99810247,0.80265655,0.04111322,0.19544592,0.39089184,0.60910816,0.28083491,0.95951417
sizehelpteam,1482,1930,2138,1251,482,0.99527665,0.0,18.0,0.97165992,0.24696356,0.04723347,0.72604588,0.3488529,0.6511471,0.18488529,0.96373057
VMUcare,1381,1573,2038,727,384,0.9775525,0.00144823,16.0,0.84503983,0.15858074,0.11078928,0.69007965,0.04706734,0.95293266,0.03692976,0.98029243
Kimpton,1339,1470,1732,1054,332,0.95743092,0.00074683,18.0,0.94846901,0.00970874,0.03510082,0.93876027,0.0,1.0,0.00373413,0.99387755
SCsupport,1329,1512,1851,980,398,0.94055681,0.0,22.0,0.96237773,0.04815651,0.07674944,0.91422122,0.40933032,0.59066968,0.18284424,0.97156085
DunkinDonuts,1290,1483,1511,1258,226,0.99069767,0.0,15.0,0.9751938,0.5255814,0.02248062,0.4496124,0.58682171,0.41317829,0.34031008,0.99865138
TwitterSupport,1290,1398,1438,1219,430,0.98992248,0.00077519,23.0,1.0,0.00310078,0.00155039,0.99689922,0.96744186,0.03255814,0.82403101,0.86695279
USCellularCares,1177,1336,1944,541,319,0.99745115,0.00254885,19.0,0.96771453,0.04248088,0.16652506,0.92523364,0.0144435,0.9855565,0.01019541,0.97979042
NeweggService,1079,1183,1446,796,406,0.98795181,0.00092678,22.0,0.86561631,0.20759963,0.07692308,0.65801668,0.09823911,0.90176089,0.08804449,0.97295013
PandoraSupport,1043,1213,1388,724,263,0.97986577,0.0,18.0,0.93384468,0.15532119,0.14860978,0.77948226,0.18983701,0.81016299,0.15915628,0.98680956
AWSSupport,1035,1302,1403,904,416,0.99903382,0.0,22.0,0.99806763,0.09855072,0.15748792,0.89951691,0.00386473,0.99613527,0.00869565,0.99155146
